year,month,day,day_of_year,tmax,tmin,precip,rained
2026,1,1,1,61,53,9.4,1
2026,1,2,2,63,53,3.2,1
2026,1,3,3,60,55,3.8,1
2026,1,4,4,56,51,25.1,1
2026,1,5,5,57,51,32.8,1
2026,1,6,6,63,51,5.7,1
2026,1,7,7,58,46,0.5,1
2026,1,8,8,56,43,1.4,1
2026,1,9,9,54,35,0.0,0
2026,1,10,10,55,35,0.0,0
2026,1,11,11,58,38,0.0,0
2026,1,12,12,58,39,0.0,0
2026,1,13,13,60,40,0.0,0
2026,1,14,14,62,42,0.0,0
2026,1,15,15,63,43,0.0,0
2026,1,16,16,65,46,0.0,0
2026,1,17,17,61,44,0.0,0
2026,1,18,18,62,46,0.0,0
2026,1,19,19,63,43,0.0,0
2026,1,20,20,57,45,0.0,0
2026,1,21,21,58,48,0.0,0
2026,1,22,22,64,46,0.0,0
2026,1,23,23,56,44,0.0,0
2026,1,24,24,63,42,0.0,0
2026,1,25,25,55,37,0.0,0
2026,1,26,26,62,42,0.0,0
2026,1,27,27,66,40,0.0,0
2026,1,28,28,64,48,0.0,0
2026,1,29,29,63,39,0.0,0
2026,1,30,30,64,46,0.0,0
2026,1,31,31,63,46,0.0,0
2026,2,1,32,64,44,0.0,0
2026,2,2,33,68,40,0.0,0
2026,2,3,34,69,42,0.0,0
2026,2,4,35,70,43,0.0,0
2026,2,5,36,71,45,0.0,0
2026,2,6,37,72,51,0.0,0
2026,2,7,38,66,47,0.0,0
2026,2,8,39,67,46,0.0,0
2026,2,9,40,66,49,0.1,1
2026,2,10,41,64,47,4.9,1
2026,2,11,42,58,52,5.5,1
2026,2,12,43,63,45,1.2,1
2026,2,13,44,62,45,0.0,0
2026,2,14,45,63,43,0.0,0
2026,2,15,46,63,53,16.3,1
2026,2,16,47,54,48,51.7,1
2026,2,17,48,50,42,24.2,1
2026,2,18,49,50,38,10.6,1
2026,2,19,50,52,42,16.8,1
2026,2,20,51,56,36,0.0,0
2026,2,21,52,61,39,0.0,0
2026,2,22,53,69,45,0.0,0
2026,2,23,54,71,46,0.0,0
2026,2,24,55,71,57,1.0,1
2026,2,25,56,68,58,0.3,1
2026,2,26,57,72,53,0.5,1
2026,2,27,58,76,55,0.0,0
2026,2,28,59,77,57,0.0,0
2026,3,1,60,68,55,0.0,0
2026,3,2,61,65,50,0.0,0
2026,3,3,62,66,49,0.1,1
2026,3,4,63,65,50,0.1,1
2026,3,5,64,66,44,0.0,0
2026,3,6,65,72,46,0.0,0
2026,3,7,66,77,48,0.0,0
2026,3,8,67,77,51,0.0,0
2026,3,9,68,73,50,0.0,0
2026,3,10,69,70,48,0.0,0
2026,3,11,70,77,45,0.0,0
2026,3,12,71,79,51,0.0,0
2026,3,13,72,74,48,0.0,0
2026,3,14,73,74,49,0.0,0
2026,3,15,74,82,50,0.0,0
2026,3,16,75,89,52,0.0,0
